,NAME,PHONE NO,COMPANY ORG,LOCATION,BIZ ADDRESS,SHARE CAPITAL,EMAIL,SECTOR,PRODUCT/SERVICES,NO OF EMPLOYEES,TURNOVER
,DIAMOND PENSION FUND CUSTODIAN LIMITED,234(1)2713954,,Lagos,"1A, Tiamiyu Savage Street",,info@diamondpfc.com,Financial Services,"Provide Custodial Services. Pension Fund Custodial Business Services ( Contribution Collection, Corporate Action Services, Safe Keeping, Benefit Payments)",,
,SHIMOG ENERGY RESOURCES LIMITED,234(80)3912286,,Lagos,"96, Odunfa Street Off Adeniji Adele Road",,shimogenergyresourcesltd@yahoo.com,Other Service Activities ,"Mechanical Installation/ Maintenance; Fabrication, Welding And Materials Procurement & Supplies",,
,YUSUF BALE COMPANY NIGERIA LIMITED,234(0)7031219593,,Lagos,"6,Olopade Street Off Smith Street",,amooyusuf429@yahoo.com,Construction,Minor Civil Maintenance,,
,WELL MANNED COMPANY LIMITED,234(1)2916280,,Lagos,"Plot 9 Prof Gabriel Olusanya Street Off Qmb Builder'S Mart Road, Lekki Phase 1",,info@wellmanned.com,Petroleum downstream,"Provide Integrated Project Management And Consultancy Services For Oil & Gas Companies. Which Includes But Not Limited To Field Development, Facility Maintenance",,
,SHEFA TRANS AFRICA LTD,234(0)8092999599,,Lagos,Plot 9 Folashade Awe Street,,info@shefanigeria.com; dami.adeojo@shefanigeria.com,Petroleum downstream,General Trading Company And An Oil And Gas Services Company. The Company Is Newly Formed And Its Business Interests Are Currently Being Developed,,
,HUVI PICTURES,234(0)8025477653,,Lagos,11 Eric Moore Close Off Eric Moore Road Surulere,,huvipictures@gmail.com; temsynine@yahoo.com,Other Service Activities ,Photography And Videography,,
,MCHOLLY TECHNOLOGIES LIMITED,234(0)8125774880,,Lagos,"16, Taiye Odunjo Street, Egbeda Akowonjo",,opeyemiolajide@gmail.com,Power,Renewable Energy Services,,
,BUSA & COMPANY LIMITED,234(0)7086680411,,Lagos,Ikota Shoping Complex Vgc Ajah,,davidajudua@busaandcompany.com,Construction,"Real Estate, Recruitment & Outsourcing, Trainings, Payroll Management, Inventory Management, Security Services / Background Checks",,
,PHENOMENAL ENERGY LTD,234(0)8034509349,,Lagos,"21B, Femi Okunnu 2 Estate",,info@phenomenalenergyng.com,Petroleum downstream,"We Are Involved In The Procurement Of Oil And Gas Related Equipment And Tools, We Equally Provide Engineering Consultancy And Maintenance To Upstream Nigeria Oil And Gas Facility Operators",,
,TGI NIGERIA LIMITED,234(1)2806770,,Lagos,"No 14, Chivita Avenue Ajao Estate",,tgi@tgi-ng.com,Wholesale/retail trade,Wholesale And Retail Of Fmcg Goods.,,
,COVENANT UNIVERSITY ALUMNI ASSOCIATION,234(0)8032159360,,Ogun,"Room C201 Covenant University Chapel, Ota",,secretariat.alumni@covenantuniversity.edu.ng,Education,"Provides Services For Covenant University Graduates I.E. Certificate Collection, Transcript Application, References, Employer Evaluation Requests, Academic Support / Sponsorship, Business Support, Medical Support (All For Graduates Of Covenant University)",,
,ALLIANZ NIGERIA INSURANCE PLC,234(80)367873,,Lagos,"307, Adeola Odeku",,joel.omondiale@allianz.ng,Financial Services,Insurance Underwriter,,
,PASCHAL KINGSLEY & COMPANY,234(0)8177700991,,Lagos,"27, Kakawa Street Off Broad Street, Marina",,pkc@pkc.ng; kingsley.ihegworo@pkc.ng,Other Service Activities ,Law Practice - Litigation In Courts And Solicitorship,,
,DARSUDEL & COMPANY LIMITED,234(0)8023006793,,Lagos,"25, Oshodi Apapa Expressway Apapa",,darsudelandcoltd@yahoo.com,Other Service Activities ,Supply Of Electrical Equipment,,
,COTMED MEDICALS,234(0)8023103066,,Lagos,45 Maye Street,,yemi.abioye@ymail.com; cotmedical@yahoo.com,Other Service Activities ,Medical Diagnostic Services. Environmental Toxicology Analysis. Clinical Chemistry Analysis. Medical Microbiology Specimen Analysis. Haematology / Blood Group Serology. Medical Supplies,,
,REDORC INTEGRATED RESOURCES LTD,234(0)8137671961,,Lagos,"4, Taiwo Close Oja Mafoluku Oshodi",,azireward@yahoo.com,Wholesale/retail trade,"Dealer, Supply And Distribution Of Goods And Products",,
,ELGAR (NIGERIA) LIMITED,234(1)2704712,,Lagos,"5, Mercy Eneli Street Off Alhaji Masha Road",,info@elgarnig.com,wholesale/retail trade,"Supply Of Electrical /Mechanical Products Tools, Diagnostic And Maintenance Test Equipment Repair / Calibration Of Test Equipment / Instruments/Safety Equipment/Training/Testing Services",,
,RECH TECH NIGERIA LIMITED,234(0)8059659079,,Lagos,"3, Adepeju Street Temple Bus-Stop",,rechtech@yahoo.com,Construction,Civil /Mechanical Installation/ Maintenance And Materials,,
,TECNICOOL NIGERIA LIMITED,234(0)8032885800,,Lagos,24 Abimbola House Isolo Industrial Estates,,info@tecnicoolafrica.com,Construction,"Mechanical, Electrical , And Commercial Air-Conditioning",,
,PEFCOR LIMITED,234(0)8135963702,,Ogun,"22/24, Popoola Street Afobaje Estate, Ota",,femi1743@gmail.com,Wholesale/retail trade,General Merchant/Contractor,,
,BAYSTAD WORLDWIDE INTERNATIONAL LTD,234(0)8139315567,,Lagos,10 Ekunsumi Street Off Banks Way,,baystadworldwide@gmail.com,Other Service Activities ,"Indigenous Marketing Company Set On Ethical Practices And Standard To Provide Seamless Support Services To Hospitals, Primary Health Centres/Clinics, States And Federal Ministries Of Health And Other Corporate Organizations. We Supply Hospital Equipment, Laboratory Equipment, Lab Reagents, Pharmaceuticals",,
,E-NNOCH TECHNOLOGIES LIMITED,234(0)8033282776,,Lagos,115 Itire Road Surulere,,info@ennochtech.com,Information & Communication,"Professional It Services Firm Dealing In It Infrastructure Services, Security Solutions, Business Support And It Consulting",,
,XOFTLINKS,234(0)8157813139,,Lagos,"No 5 Unity Street, Osapa London",,webmaster@bwe.com.ng,Other Service Activities ,"digital training, digital marketing, digital software and development, and digital strategies.",,
,ANSUM CONTINENTAL CONCEPTS LIMITED,234(0)8033377771,,Lagos,"29, Eyo Street Palmgroove",,ansumcontinental@gmail.com; bayoiloti@gmail.com,Other Service Activities ,Scrap Recycling Business,,
,FORTIZO ENERGY RESOURCES LIMITED,234(0)7038398977,,Lagos,C11 Royal Garden Estate Lekki,,chidinma@fortizoenergy.com; info@fortizoenergy.com,Petroleum downstream,"Oilfield Manpower Supply Services, Engineering And Project Management Service, Solid Control Services, Drilling Waste Management Services, Octg Pipes Procurement ,Inspection And Installation Service, Road Haulage Services",,
,FOLUMEG FOODS SERVICES,234(0)8154145407,,Lagos,1 Oloruntoyin Street Bariga,,kemichionuma@yahoo.com,Accommodation & Food Services,Food Supplies,,
,CAPITAL FIELD ENERGY & ALLIED SERVICES LIMITED,234(1)4547432,,Lagos,"Plot 870 A Bendel Close Off Bishop Aboyade Cole Street, Victoria Island",,humanresource@capitalfieldenergy.com;info@capitalfieldenerg,Petroleum downstream,"Engaged In Integrated Commercial Activities Of The Downstream And Upstream Sector Of The Nigerian Oil And Gas Industry.Engaged In Consultancy, Marketing And Distribution Of Petroleum Products",,
,VERACITY HOUSE ICT SOLUTIONS PROVIDERS,234(0)8030633585,,Lagos,"City Hall, Catholic Mission Street, Education Hub Lagos Island",,OnifadeGabriel@gmail.com,Information & Communication,"ICT Solutions Providers provide Cloud Hosting & infrastructure Services (SaaS, PaaS, IaaS), ICT Training, Websites & Mobile app developments",,
,ENUCHY EXPRESS SERVICES LIMITED,234(0)8033005901,,Lagos,"6/8 Olaolu Drive Awodiora Estate, Apapa",,enuchy.express@yahoo.com,Other Service Activities , ,,
,RIPET ENGINEERING LIMITED,234(0)8171111119,,Lagos,No. 147 Yunis Bashorn Victoria Island,,ripetpetkov@gmail.com; ripet.ltd@gmail.com,Construction,Engineering/construction,,
,AZENITH ENERGY RESOURCES LTD,234(1)2701320,,Lagos,"78, Alexander Road Ikoyi",,info@azenithenergy.com,Petroleum downstream,"Engaged In Processing, Supply And Storage, Trading Of Petroleum Products And Crude Oil",,
,CORDERO ENGINEERING SERVICES LIMITED,234(0)8033732239,,Lagos,"12B, Dr. Adewale Oshina Street, Off Fola Oshina Street Off Chief Collins Uchibionu Street",,info@cordero-engineering.com,Transport/storage,Equipment/Materials Supply Services And Special Transportation Services,,
,FOCAL INSPECTION MULTILINKS LTD,234(0)8023079929,,Lagos,Suite B8 God Is Able Plaza No: 24 Road Festac,,silva.kasim@focalinspection.com,Other Service Activities ,"Lifting Equipment Inspection, Quality Assurance, Quality Control, Non-Destructive Testing And Pipeline Maintenance, Services",,
,TAXAIDE TECHNOLOGIES LIMITED,234(0)9071966612,,Lagos,68 Molade Okoya - Thomas Stree Victoria Island,,moses.adebayo@taxtech.com.ng,Financial Services,tax management services,,
,CORRECT SOURCES NIGERIA LTD,234(0)8033032877,,Lagos,21B Idowu Martin'S Street,,hanson@correctsources.com,Other Service Activities ,"auto parts, foods and home appliances",,
,ONLINE WISDOM ORGANIZATION,234(0)9094448413,,Lagos,"4, Panson Street Oshodi-Isolo",,salamisamuel@onlinewisdom.org; hr@onlinewisdom.org;,Education,comprehensive education relating to the World Wide Web in a broad spectrum,,
,CUSTOM MALL LIMITED,234(0)8035257749,,Lagos,37 B Modupe Alakija Crescent,,peter.a.adeyemi@gmail.com,Information & Communication,Engaged As Online Store For Customization Of Products Services.,,
,YRO AFROFOODS LIMITED,234(0)8023528827,,Lagos,"Olagbende Street Off Iyana Ekoro, Meiran",,yezeanii@gmail.com,Accommodation & Food Services,"Large Scale Exportation, Importation And Wholesale Distribution Of All Kinds Of African Food",,
,JUCHEKA RESOURCES NIGERIA LIMITED,234(0)8023168464,,Lagos,Canaan Plaza Lekki Expressway Lekki Phase 1,,juchekanigeria@rocketmail.com; adakajudith@yahoo.com,Other Service Activities ,Safety Items And Equipment,,
,GRANDILO TECHNOLOGY,234(0)7039056183,,Lagos,294 Herbert Macaulay Way,,icalistus@grandilo.com.,Information & Communication,It Services,,
,ARMADA INTERNATIONAL LIMITED,234(1)7349375,,Kano,"Iya Gara Street, Sharada Industrial Estate Plot 81, Phase Ii, Sharada, Kano State",,yusuf@armadaint-grp.com,Agriculture,importing finished goods and exporting local agricultural raw materials,,
,RATED SCHOOLS,234(0)8026105019,,Lagos,Suite One City Star Plaza Alagbado,,ratedschools.tv@gmail.com; info@ratedschools.com.ng,Information & Communication,Consultancy Services Provides Video-Base Schools' Directory Services,,
,QUCOON LIMITED,234(0)7032021894,,Lagos,1004 Estates,,yinka.daramola@qucoon.com,Financial Services,A FinTech start-up using AI & Analytics to power Digital banking business,,
,NETPLUS LIMITED,234(0)8094311733,,Lagos,Opic Plaza Mobolaji Bank Anthony Way,,kaspersky@netplusng.com; morakinyo@netplusng.com,Information & Communication,"Netplus Is A Specialist Information Security And Data Protection Company With Strong Systems, Intergration Capabilities. We Are Focused On Delivering Solutions That Address Our Customers' Needs In Information Security",,
,DEPUTY HIGH COMMISSION OF CANADA,234(1)2715650,,Lagos,"4 Anifowoshe St, Victoria Island",,lagos@international.gc.ca,Other Service Activities ,Embassy,,
,ZUNIDO NIGERIA LIMITED,234(0)8034058224,,Lagos,199B Ikorodu Road,,uumeozulu@yahoo.com,Construction,"General Procurement, Contracting, Construction Of Building, Renovation And Maintenance Of Building, Building Production Management And Information Technoloy",,
,JOSEPH AYANNIYI NIGERIA ENTERPRISES,234(0)8035264389,,Lagos,"45, Docemo Street",,joebrownayanniyi@gmail.com,Other Service Activities ,Sales And Supply Of Office/Hospital/Home Furniture And Equipment,,
,COZYM PROCESS SYSTEMS LIMITED,234(0)8027805806,,Lagos,"3B, Abike Animashaun Street Off Durosimi Etti, Lekki Phase 1",,cozym@cozymprosys.com,Construction,"Cozym Process Systems Limited Is An Engineering, Procurement, Installation And Construction Company. We Are Specialized In Providing Solutions For The Upstream/Downstream Oil And Gas Business In Nigeria And West Africa. Our Expertise Is Well Developed For",,
,CADTECH ENGINEERING SERVICES LIMITED,234(0)8124367894,,Lagos,"62A, Itafaji Street Dolphin Estate",,"cadtech.esl@gmail.com, idowubabajide@gmail.com",Construction,"Construction Of Buildings, Roads, Water Retaining Structures, Drainages And Renovation Of Structures",,
,KRONIKLA & ASSOCIATES LIMITED,234(0)8035250244,,Lagos,5/7 Ola-Olu Street Ire-Akari Estate,,akin.fatunke@yahoo.com,Other Service Activities ,"Professional Services, Corporate And Public Communications And Government Relations",,
,SOLARMART NIGERIA,234(0)8025234859,,Lagos,"59 Mean Road Off Lagos Abeokuta Way, Agege",,info@solarmartnigeria.com,Other Service Activities ,Solar Retail Shopping Solution,,
,KEROGEN LOGISTICS LIMITED,234(1)2770713,,Lagos,"Block 61, Plot 11 Off Fola Osibo Road, Lekki Phase 1 Osaro Isokpan Street, Off Theophilus Oji",,Victor.imevbore@kerogenlogistics.com,Transport/storage,Marine Logistics And Transportation.,,
,CHECKLIST PARTNERS LIMITED.,234(0)8035552299,,Lagos,C6 Primewaterview Gardens Lekki Phase 1,,info@checklistpartners.com; kanma@checklistpatners.com,Other Service Activities , ,,
,SERVICE POINT NIGERIA LIMITED,234(0)8034015555,,Lagos,"Km 46, Lagos-Epe Expressway Sangotedo, Epe",,service.pointnigltd@servicepointltd.com,Petroleum downstream,"Oil And Gas Service Company, Nigeria Manpower Supply, Rehabilitation/Upgrade/Fabrication Works, Equipment/Material Supply Services, Computer/Data Storage System, Communication Equipment, Minor Electrical Works, Drainage Works, Minor Civil Works, Minor Mechanical Work",,
,PILLAR OF GRACE INTERNATIONAL NIGERIA LIMITED,234(0)9066686366,,Lagos,"Block 220, Flat 1 Amuwo Odofin Estate Mile 2",,pillarofgraceintnigltd@gmail.com,Other Service Activities ,Procurement Of Goods And Services,,
,THYAURA PARTNERS CONCEPT LIMITED,234(1)817777,,Lagos,No: 19A Sylvia Sreet Anthony Village,,info@thyaura.com; thyaura2000@hotmail.com,Other Service Activities ,"Funmigation, Waste Disposal And Environmental Cleaning Services",,
,SYSVIEW MEGA PROJECTS LIMITED,234(0)8033290394,,Lagos,"29 Jaiyeola Ajatta Street Ajao Estate, Isolo",,Basil.manasa@sysviewmegaprojects.com; Sales@sysviewmegaproje,Construction,"Engaged In Construction, Maintenance And Support Services To The Oil And Gas Industry",,
,THE OPTIMAL HR NIGERIA LIMITED,234(0)8051645555,,Lagos,12 Akindele Street,,sundayadeyemi@optimalhrgroup.com,Other Service Activities ,Hr Consultancy Services,,
,GREENSPOT TECHNOLOGIES,234(0)8052678744,,Lagos,"No . 24, Olowu Street Ikeja Lagos",,mayowaolurin@purse.ng,Information & Communication,Information technology,,
,NEWELL AGRO TRADING,234(0)8064107915,,Abia,"13, Iheorji Avenue",,nnamdi.davidchizurum@gmail.com,Agriculture,Agricultural products,,
,SOLANIK NIGERIA LTD,234(1)7761454,,Lagos,"537 Agege Motor Road Ladipo Bus Stop, Sogunle - Oshodi Road",,solanikltd@yahoo.com; info@solanikltd.com.ng,Transport/storage,Freight Forwarder,,
,ANIEBO OKOYE ASSOCIATES,234(0)8033260028,,Lagos,Southeast Pavillion Tbs Complex Race Course Marina,,aniebookoye@gmail.com,Construction,"Building And Construction, Business Development Services And Property Developers",,
,PRINCE REMMY TRAVELS & TOUR LIMITED,234(0)81356416,,Lagos,"No 84, Isolo Road Egbe- Ikotun",,princeremmytravels@gmail.com; info@prtatour.com,Transport/storage,Engaged As Travel Agencyengaged As Tour Operators,,
,PREMIER FEED MILLS COMPANY LIMITED,234(0)8035250545,,Lagos,"No.1 Eagle Flour Road, Ibadan Expressway Toll Point, Ibadan, North West",,opeifa.olutoyin@premierfeedsltd.com,Agriculture,"Manufacturer of animal feed, Manufactures livestock feeds, Manufactures chicken feeds, Manufactures poultry feeds and aqua feeds",,
,SCIMITAR GLOBAL SERVICES LIMITED,234(0)8035510280,,Lagos,No. 10 Ayinke Trombi Close Ladipo Estate,,info@scimitarglobalserviceslimited.com,Information & Communication,"Contact Center Solutions, Microsoft Solutions - Dynamics 365/Crm - Sales Automation, Complaints Management , Social, Media Engagement And Office 365, Smart Message Marketing Platform - Omnichannel Platform (Email, Sms, Push, Social Media, Chatbots), Video Engagement, Queue Management Solution With Digital Display And Virtual Appointments), Supply Of Ict Hardware Like Computers, Servers And Implement Network Solutions (Lan/Wan), Our Model Of Engagement Gives You Time And Resources To Focus On Your Core Businessfacing Other Pressing And Important Needs For Your Satisfaction. Sgsl Specializes In The Fusion Of Business And Technology And Our Strategy Is To Continuously Achieve Significant Cost Reduction For Your Business. Our Team Of Professional Are Trained To Look At The Entire Business And To Design Solutions That Are Specifically Suited To Your Unique Business Needs Within Our Technology And Solutions Space",,
,DELTA TECHNOLOGIES AND OILFIELD SERVICES,234(1)2706562,,Lagos,"3 Chris Efuyemi Onanuga Street Off Babatunde Kubuoye, Lekki Phase 1",,support@deltatechoilfield.com; eobi@deltatechoilfield.com,Other Service Activities ,"Mechanical, Electrical Installations. Heavy Duty Equipment Supply, Installations And Maintenance",,
,JOOLA VENTURES (OVERSEAS) LIMITED,234(0)8035350087,,Lagos,"3 Muhammed Yinka Bello Street Before Shoprite, Sangotedo",,tedogroup@yahoo.com,Construction,"Building And Civil Contractors, Oil &Gas Consultant And Contractors, Project & Facility Managers Property Development & Estate Realtors, Manpower And Labour Supply, Business Development, I.T & Security Support, Fabrication & Construction",,
,VOG AND WOD,234(0)8063075477,,Lagos,"7, Opebi Road Off Allen Avenue Ikeja (Osata Supermarket)",,ogo_val@yahoo.com; info@vogandwod.com.ng,Manufacturing,Publishing And Books And Educational Toys,,
,BRENHAZY LIMITED,234(0)8067160371,,Lagos,"Plot 1B, Block 6 Lekki Gardens Phase 1",,info@brenhazylimited.com ; brenhazylimited@gmail.com,Petroleum downstream,"Procurement And Supply Of Refinery And Petrochemical Equipment, Drilling And Completion Tools, Oil Equipment And Material Supply Services, Pipes, Pumps, Valves, Tubes, Oilfield Safety Supply.",,
,G5 BANQUET INT'L COMPANY LTD,234(0)8186014090,,Lagos,No.19A Milverton Street Ikoyi,,g5banquetintlcompanyltd@gmail.com,Other Service Activities ,Service Provider (Equipment Supply And Services / General Marchant),,
,NOGLE TRAVELS LIMITED,234(0)8036439914,,Lagos,"Km 42, Lekki Express Way",,godwin.chukwurah@nogletravels.com,Other Service Activities ,Travel company,,
,KRYSTAL12 LIMITED,234(1)4541967,,Lagos,"21A, Akanbi Disu Street Off Providence Road",,info@krystal12.com; jalilusm@gmail.com,Construction,"Services In The Fields Of Engineering, Procurement, Installation And Construction, Real Estate, Maintenance Support Services, Technical Manpower Development For Oil And Gas And Other Sectors Of The Economy.",,
,SEROCK ENERGY SERVICES LIMITED,234(0)8164659308,,Lagos,5 Modupe Odunlami off George Omonupi Street Oniru,,info@serockenergyservice.com,Construction,"Procurement And Supply Chain Management, Facility Management, Man Power Supply, Land And Marine Logistics, Civil Works, Engineering Designs And Fabrication, Road Construction, Building Construction, Oil & Gas Facilities Management Services, Corrosion Control Services, Non Destructive Testing, Ultrasonic Intelligent Pigging",,
,BRIDGEWATER OIL & GAS LTD,234(0)8174455595,,Lagos,"28,Osolo Way Ajao-Estate",,info@bridgewateroilandgas.com,Petroleum downstream,"Procurement Of Marine Equipments & Petroleum Product, Strategic Procurement",,
,SKYE SHELTER FUND PLC,234(1)2801400,,Lagos,"Plot 287, Ajose Adeogun Street Victoria Island",,shelter@skyebankng.com,Construction,Real Estate Business,,
,NIKCAN UNIVERSAL SOLUTIONS LTD,234(0)8038275907,,Lagos,"No. 237, Ikorodu Road Anthony",,demollyadet@yahoo.com,Petroleum downstream,Read more at: https://www.vanguardngr.com/2015/06/global-economy-loses-250bn-yearly-to-fake-products-philips/,,
,FUTURE AUTOMATION CALIBRATION TECHNICAL SERVICES,234(1)2706562,,Lagos,"3, Chris Efuyemi Onanuga Street",,support@futurecalibration.com,Petroleum downstream,"Imte Calibration Onshore & Offshore, Instrumentation & Control Services",,
,DE-FEMCAB GLOBAL INTEGRATED SERVICES LTD,234(812)777741,,Lagos,"22,Adedoyin Adeyinka Street Ijagun Ikotun",,kkbshow.femmo@gmail .com,Other Service Activities ,Products/Service Provider,,
,TGT OILFIELD SERVICES NIGERIA LIMITED,234(1)4547545,,Lagos,"Plot 14A, Block 72 Taiye Olowu Street Off Admiralty Way, Lekki Phase 1",,Info-nigeria@tgtoil.com; johnson.ajayi@tgtoil.com,Petroleum downstream,"Oil Servicing (Well Integrity, Premature Water / Gas Breakthrough , Channeling ,Reservoir Crossflows, Well Injection Efficiency Investigations Through Tubing)",,
,TECH24,234(0)8029704730,,Lagos,"70C, Allen Avenue Ikeja",,info@tech24.com.ng,Other Service Activities ," ICT company that helps businesses to leverage technology to save cost, time and increase profit.",,
,TILDAINC GLOBAL INTEGRATED LIMITED,234(44)7881923125,,Lagos,Road 66 Vgc Ajah,,buhari_yesufu@icloud.com,Other Service Activities , ,,
,JULI PLC,234(0)37544408,,Lagos,19 Kodesoh Street,,juli@juliplc.com.ng; jullipharmacy@yahoo.com,Manufacturing,"Manufacturing, Wholesale & Retail Of Pharmaceutical And Allied Products",,
,MEDIA MANAGERS PROFESSIONAL,234(0)8023171190,,Lagos,"42 Oduduwa Crescent, Gra",,jimmy@mediamanagerspro.com; hello@mediamanagerspro.com,Other Service Activities , ,,
,MAJJPETRO ENERGY SERVICES LIMITED,234(0)8039646010,,Lagos,Nim Building Suite 15 And 16 Idowu Taylor Street,,ukegbunnaemeka@yahoo.com,Petroleum downstream,"Onshore Pipeline/Storage Facility Maintenance; Pipeline Pigging And Inspection, Storage Facility Maintenance, Project Development, Engineering Design, Procurement, Construction/Drilling",,
,RIVERVIEW SOLICITORS,234(0)8087156484,,Lagos,29 Ademola Street Off Awolowo Road,,riverviewsolicitors@yahoo.co.uk; mosagay@hotmail.com,Other Service Activities ,"Law Firm, Providing Legal Services To Corporate, State And Private Individuals",,
,FORTBANC SOLICITORS,234(1)2711069,,Lagos,160A Sinari Daranijo Street Victoria Island,,info@fortbancsolicitors.com,Other Service Activities ,We Provide Legal Services To Multinational Clients And Financial Institutionsnot,,
,EEDGEECUTION GLOBAL RESOURCES LTD,234(1)2911718,,Lagos,"3B Stella Akinseye Street Graceland Estate, Ajah",,www.edgeecution.com,Other Service Activities ,"Manpower Development, Training And Coaching",,
,NCK TECHNOLOGIES LIMITED,234(0)8055555315,,Lagos,"No 4 Ajayi Street, Off Allen Avenue",,chuks@ncktech.com,Other Service Activities ,INFORMATION TECHNOLOGY,,
,IMPROVED SEXUAL HEALTH AND RIGHTS ADVOCACY INITIATIVE,234(0)8126094043,,Lagos,"25, Adeyemi Street Agege",,ishraing@gmail.com,Other Service Activities ,"NGO; community based initiative that focuses on the provision of numerous interventions in Health, Human rights, and economic empowerment of the LGBTI community in Nigeria",,
,OLUYEM INTEGRATED SERVICES NIG LTD,234(0)7066426703,,Lagos,10 B Ithohan Street,,oluyemintegratedservices@yahoo.com; bayoadash18@gmail.com,Construction,"Procurement, Engineering, Construction, Maintenance Services, Labour Supply, Agricul",,
,TRAILANT LIMITED,234(0)8063979319,,Lagos,C/O 29 A Providence Street Lekki Phase 1,,ioa@trailant.com,Information & Communication,Trailant Is An Information Technology Company That Simplifies The Process Of Background Screening By Enabling Individuals Keep Already Verified Information On Themselves And Allowing Others Request And Access Such Information. We Deliver This Through An Integrated Cloud And Mobile Solution,,
,SOFTROK SOLUTIONS,234(0)8034688154,,Lagos,"1 Ilaka Street Coka Road, Flat No-30002",,mail@softrok.com,Other Service Activities , technologies and solutions to Nigerian businesses and individuals.,,
,AZINOVA SOLUTIONS LIMITED,234(0)7044400088,,Lagos,81 Bode Thomas Street Surulere Lagos,,info@azinova.com.ng,Information & Communication,Information Technology And Services,,
,INNIVE LINKAGE CONCEPTS LIMITED,234(0)8033685767,,Lagos,"18, Medical Road Ikeja",,seun@inniveconcepts.com,Other Service Activities ,"nfrastructure Solutions, Networking and Network Security Solutions, CCTV installation, Access Control Installation, Website Design and Development, Software Development, Power Solutions (Inverter and Solar Power), Sales and Supply of Hardware.",,
,ENGAGE INTEGRATED CONCEPTS LTD,234(0)8023297999,,Lagos,70C Nikky Africana Plaza Allen Avenue Ikeja,,John.abhulimen@gmail.com,Other Service Activities ,We Provide Marketing Consultancy Services To Top Line Manufaturing Companies,,
,MARINE FLAGSHIP SERVICES LIMITED,234(0)8035102294,,Lagos,7B Prince Alaba Abiodun Oniru Road,,echechuka@yahoo.com,Transport/storage,"We Provide Technical Services In The Area Of Subsurface Evaluation, Assets Management And Data Acquisition, Measurements And Facilities Maintenance, Provide Technical And Administration Support Hires To Organization, Procurement Of The General Engineering And Consumables Materials; Running Of The Skill Based Training",,
,SPECTRUST GLOBAL CONCEPT LIMITED,234(0)8126350447,,Lagos,No 2 Bassey Street Egbeda,,Spectrust_global@yahoo.com,Construction,"Procurement, Engineering, Construction, Maintenance Serives, Labour Supply, Agricultural Consultancy, Environmental &Consultancy Services And Distribution",,
,YINOLA LIMITED,234(0)8161196469,,Lagos,"Suite 205E, Second Floor City Hall, Catholic Mission Street",,contact@yinola.com,Other Service Activities ,mobile interactive entertainment company offering free African games and content ,,
,ARKERS PROJECTS NIGERIA LIMITED,234(0)8037074029,,Lagos,"Plot 9, Olabanji Olajide Street Off Mobolaji Johnson Estate, Lekki, Phase 1",,info@arkersprojects.com,Construction,"Supply, installation and maintenance of oil field equipment (Pipeline supplies/ Accessories such as flanges, gasket bolts and nuts tapping screws, hand tools, PPEs, rivet, pliers, lazy tong, protective gadgets, security gates, metal tanks, factory cars safety device and allied works and more); Oil tank farm cleaning and Provision of logistics for oil and gas companies.",,
,POLARCUS NIGERIA LTD,234(1)4630153,,Lagos,196B Awolowo Road,,polarcusnglagos@gmail.com,Mining & Quarrying ,Geophysical Services,,
,THP PROJECT NIGERIA LIMITED,234(0)8080591215,,Lagos,17 Sule Abuka Crescent Behind Gtbank Opebi Ikeja,,support@thpproject.com; info@thpproject.com,Other Service Activities ,"system integratoe, network security, web application security, enterprise data storage",,
,EXPIDEV TECHNOLOGIES LIMITED,234(0)8128292253,,Lagos,"No.8, Idowu Taylor Street, Victoria Island",,john.f@carryam.com,Other Service Activities ,Android App development,,
,NESAD CONSULTING,234(0)8093268421,,Lagos,"No 18, Adewunmi Adebimpe Street Lekki Phase 1",,nesadconsult@yahoo.com ; samson.momoh@nesad.com,Other Service Activities ,Aims At Helping In Contract Sourcing And Relationship Building For Clients,,
,SOURCECARD ROBOTICS LIMITED,234(0)8060189865,,Lagos,"Flat 175, Oniru Estate",,oakawo@sourcecard.com.ng,Other Service Activities ,"Computer Games, Internet of Things devices, mobile applications",,
,LEGENDS BUSINESS SCHOOLS LIMITED,234(0)8023200577,,Lagos,"105 Ogomboroad,Greenlandestate",,housenaijaios@novehill.com,Education,Business school,,
,GOODSTONE INVESTMENTS W/A LTD,234(0)8095790763,,Abia,"E34, Building Material Market Ariaria Ariaria Intl",,goodstone11@yahoo.com,Construction,"Building Material, Sisal Fibre",,
,AWACOM SERVICES LTD,234(0)8179593241,,Lagos,"No.29, Fashoro Street Off Ishaga, Surulere",,info@awacomng.com,Information & Communication,"Datacenter Infrastructure, Security And Ict Technology Solutions End-User Computing, Cloud Services, Networking Solutions",,
,RYNDZ ROYAL SERVICES LIMITED,234(0)8033213689,,Lagos,"No7,Olufemi Olatunji Sreet Osapa London,Lekki",,enquiries@ryndzroyal.com,Other Service Activities ,"Procurement, asset integrity management, logistics",,
,FOHAT SOLUTIONS LIMITED,234(0)8060272001,,Lagos,"10C, Lavender Close Mko Abiola Gardens, Alausa",,fohatsolutionssales@gmail.com,Petroleum downstream,Oil & Gas Procurement,,
,RADII ENERGY LIMITED,234(1)6282296,,Lagos,"4, Bamishile Street Off Allen Avenue",,info@radiienergy.com,Construction,"Pipeline Procurement, Pipeline Inspection, Leak Test, Integrity Testing, Construction Project Management",,
